Pair,Ratio,Z-Score,RSI,MACD,Signal
RENT3/LREN3,2.7823,-0.61,46.2,-0.0215,NO SIGNAL
TAEE11/USIM5,4.7451,-0.61,51.2,0.0663,NO SIGNAL
B3SA3/UGPA3,0.4822,-0.6,38.9,-0.0224,NO SIGNAL
VIVT3/YDUQ3,4.0074,-0.6,45.2,0.1201,NO SIGNAL
PETR4/GOAU4,3.9069,-0.6,46.1,-0.0444,NO SIGNAL
BBDC4/TOTS3,0.6209,-0.6,47.2,0.0088,NO SIGNAL
CSAN3/UGPA3,0.1218,-0.59,39.4,-0.0056,NO SIGNAL
CMIG4/TOTS3,0.375,-0.58,47.3,0.0029,NO SIGNAL
VALE3/SUZB3,1.7621,-0.56,42.5,-0.0311,NO SIGNAL
HAPV3/CSAN3,2.6803,-0.54,44.3,-0.0503,NO SIGNAL
ABEV3/PCAR3,5.7698,-0.54,39.1,-0.4685,NO SIGNAL
EQTL3/HAPV3,3.6164,-0.54,48.5,0.0153,NO SIGNAL
RENT3/MGLU3,7.8481,-0.54,45.2,-0.1277,NO SIGNAL
RENT3/USIM5,4.5146,-0.52,47.9,-0.055,NO SIGNAL
RAIL3/UGPA3,0.4346,-0.5,38.6,-0.0217,NO SIGNAL
RAIL3/PCAR3,5.018,-0.5,40.1,-0.3535,NO SIGNAL
B3SA3/CSNA3,2.9374,-0.47,51.5,0.0051,NO SIGNAL
RENT3/RADL3,2.0981,-0.47,39.8,-0.0699,NO SIGNAL
RENT3/HAPV3,3.5496,-0.47,45.4,-0.0699,NO SIGNAL
PETR3/VAMO3,14.5614,-0.47,47.6,-0.1345,NO SIGNAL
VALE3/UGPA3,2.3417,-0.47,33.4,-0.1645,NO SIGNAL
WEGE3/SUZB3,1.0708,-0.47,48.0,-0.0007,NO SIGNAL
YDUQ3/ALPA4,0.7026,-0.46,48.0,-0.0078,NO SIGNAL
EQTL3/USIM5,4.5995,-0.46,51.6,0.0494,NO SIGNAL
BBAS3/UGPA3,0.6486,-0.46,39.4,-0.029,NO SIGNAL
ABEV3/UGPA3,0.4997,-0.46,35.5,-0.0297,NO SIGNAL
PRIO3/UGPA3,1.8156,-0.45,39.9,-0.0957,NO SIGNAL
WEGE3/UGPA3,1.4231,-0.45,40.1,-0.071,NO SIGNAL
YDUQ3/MGLU3,1.7046,-0.45,47.8,-0.0323,NO SIGNAL
LREN3/MGLU3,2.8207,-0.45,46.3,-0.0269,NO SIGNAL
RADL3/MGLU3,3.7405,-0.45,51.8,0.0604,NO SIGNAL
B3SA3/PCAR3,5.5683,-0.45,40.6,-0.3794,NO SIGNAL
LREN3/ALPA4,1.1626,-0.44,47.6,0.0009,NO SIGNAL
VIVT3/CYRE3,1.5688,-0.44,46.0,0.025,NO SIGNAL
VALE3/BBAS3,3.6105,-0.42,41.9,-0.0773,NO SIGNAL
VALE3/CSNA3,14.2638,-0.41,48.3,-0.2622,NO SIGNAL
ASAI3/MGLU3,1.7278,-0.4,50.6,-0.0027,NO SIGNAL
LREN3/USIM5,1.6226,-0.4,49.8,-0.0064,NO SIGNAL
BBAS3/PCAR3,7.4892,-0.4,39.9,-0.4839,NO SIGNAL
RAIL3/CSNA3,2.6471,-0.39,51.9,-0.0077,NO SIGNAL
VALE3/PRIO3,1.2898,-0.39,45.6,-0.0194,NO SIGNAL
HAPV3/CMIG4,0.945,-0.39,45.8,-0.0115,NO SIGNAL
TOTS3/PCAR3,10.6367,-0.38,41.6,-0.8866,NO SIGNAL
SUZB3/UGPA3,1.329,-0.38,38.0,-0.0653,NO SIGNAL
WEGE3/CSNA3,8.6679,-0.37,51.1,-0.0306,NO SIGNAL
BBDC4/WEGE3,0.4019,-0.37,47.2,0.0015,NO SIGNAL
TOTS3/UGPA3,0.9212,-0.37,41.5,-0.056,NO SIGNAL
BBDC4/CMIG4,1.6555,-0.36,49.4,0.0105,NO SIGNAL
TAEE11/ASAI3,4.7741,-0.36,47.4,0.0557,NO SIGNAL
ABEV3/CSNA3,3.0436,-0.36,50.4,-0.032,NO SIGNAL
SUZB3/PCAR3,15.3453,-0.35,40.4,-1.0751,NO SIGNAL
LREN3/HAPV3,1.2758,-0.35,47.0,-0.0154,NO SIGNAL
ABEV3/PRIO3,0.2752,-0.35,48.0,-0.0018,NO SIGNAL
EQTL3/ASAI3,4.6276,-0.35,47.5,0.0387,NO SIGNAL
BPAC11/MGLU3,11.597,-0.34,53.9,0.197,NO SIGNAL
WEGE3/PRIO3,0.7838,-0.34,49.2,0.001,NO SIGNAL
ALPA4/MGLU3,2.4262,-0.33,48.6,-0.0261,NO SIGNAL
VALE3/ABEV3,4.6864,-0.32,46.0,-0.0406,NO SIGNAL
CSNA3/UGPA3,0.1642,-0.31,41.2,-0.0088,NO SIGNAL
YDUQ3/ASAI3,0.9866,-0.31,46.4,-0.019,NO SIGNAL
VALE3/TOTS3,2.5421,-0.31,46.2,-0.0168,NO SIGNAL
YDUQ3/USIM5,0.9806,-0.3,49.8,-0.0154,NO SIGNAL
BBAS3/SUZB3,0.488,-0.29,50.2,0.0016,NO SIGNAL
PRIO3/PCAR3,20.964,-0.28,40.2,-1.5961,NO SIGNAL
VALE3/B3SA3,4.8559,-0.28,45.6,-0.0998,NO SIGNAL
LREN3/ASAI3,1.6325,-0.27,45.4,-0.0134,NO SIGNAL
BBAS3/CSNA3,3.9507,-0.27,52.3,0.0058,NO SIGNAL
KLBN11/UGPA3,0.5611,-0.27,41.3,-0.0229,NO SIGNAL
ITUB4/MGLU3,8.8565,-0.26,53.4,0.1343,NO SIGNAL
USIM5/MGLU3,1.7384,-0.25,46.9,-0.0132,NO SIGNAL
VALE3/RAIL3,5.3885,-0.24,43.8,-0.0904,NO SIGNAL
KLBN11/PCAR3,6.4784,-0.22,41.7,-0.3925,NO SIGNAL
RENT3/EQTL3,0.9815,-0.22,42.7,-0.0239,NO SIGNAL
HAPV3/MGLU3,2.211,-0.22,50.3,0.0077,NO SIGNAL
BBAS3/PRIO3,0.3572,-0.21,50.8,0.002,NO SIGNAL
RENT3/YDUQ3,4.604,-0.21,47.7,0.0162,NO SIGNAL
WEGE3/TOTS3,1.5448,-0.21,49.0,0.0151,NO SIGNAL
WEGE3/B3SA3,2.9509,-0.21,50.3,-0.0119,NO SIGNAL
VALE3/WEGE3,1.6456,-0.2,45.1,-0.0286,NO SIGNAL
